date,category,region,value,target
2025-01-01,Alpha,North,102.4,100
2025-01-01,Beta,North,88.1,95
2025-01-01,Gamma,South,76.3,80
2025-01-01,Delta,South,120.7,110
2025-02-01,Alpha,North,107.9,100
2025-02-01,Beta,North,91.6,95
2025-02-01,Gamma,South,79.8,80
2025-02-01,Delta,South,118.2,110
2025-03-01,Alpha,North,99.5,100
2025-03-01,Beta,North,94.3,95
2025-03-01,Gamma,South,83.1,80
2025-03-01,Delta,South,124.6,110
2025-04-01,Alpha,North,111.2,100
2025-04-01,Beta,North,89.7,95
2025-04-01,Gamma,South,77.4,80
2025-04-01,Delta,South,129.3,110
2025-05-01,Alpha,North,115.8,100
2025-05-01,Beta,North,96.2,95
2025-05-01,Gamma,South,81.9,80
2025-05-01,Delta,South,132.1,110
2025-06-01,Alpha,North,108.3,100
2025-06-01,Beta,North,98.8,95
2025-06-01,Gamma,South,85.6,80
2025-06-01,Delta,South,127.4,110
2025-07-01,Alpha,North,119.6,100
2025-07-01,Beta,North,92.4,95
2025-07-01,Gamma,South,78.2,80
2025-07-01,Delta,South,135.9,110
2025-08-01,Alpha,North,113.7,100
2025-08-01,Beta,North,97.1,95
2025-08-01,Gamma,South,84.5,80
2025-08-01,Delta,South,131.6,110
2025-09-01,Alpha,North,121.3,100
2025-09-01,Beta,North,99.6,95
2025-09-01,Gamma,South,87.3,80
2025-09-01,Delta,South,138.2,110
2025-10-01,Alpha,North,116.9,100
2025-10-01,Beta,North,101.2,95
2025-10-01,Gamma,South,82.7,80
2025-10-01,Delta,South,133.5,110
2025-11-01,Alpha,North,124.5,100
2025-11-01,Beta,North,103.8,95
2025-11-01,Gamma,South,89.1,80
2025-11-01,Delta,South,141.7,110
2025-12-01,Alpha,North,128.2,100
2025-12-01,Beta,North,105.4,95
2025-12-01,Gamma,South,91.6,80
2025-12-01,Delta,South,145.3,110
